"Gene",,"Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"dnaC_3~~~dnaC_2",,";dnaC_3;dnaC_2","hypothetical protein;DNA replication protein DnaC","65","136","64","431","50.3875968992248","76.01410934744268","3.2186351102941178","1.1502226348261848e-08","9.026947238115898e-05","8.206315671014453e-07","32","13","21","0.11018416518345472","0.37708558747544885"
"hin_1",,";hin_1","hypothetical protein;DNA-invertase hin","58","96","71","471","44.96124031007752","83.06878306878306","4.007922535211268","1.1162706459713764e-10","8.760492029583362e-07","2.6546945544192005e-08","11","4","8","0.22656250000000003","0.548828125"
"bin3",,"bin3;","Putative transposon Tn552 DNA-invertase bin3;hypothetical protein","84","210","45","357","65.11627906976744","62.96296296296296","3.1733333333333333","1.1088406035048687e-08","8.70218105630621e-05","7.983652345235055e-07","37","23","20","0.18774155899882303","0.7428293587290689"
"group_1651",,"","hypothetical protein","63","121","66","446","48.837209302325576","78.65961199294532","3.5184072126220887","1.0728481665700406e-09","8.419712411241678e-06","1.1078568962160102e-07","26","11","17","0.16863754391670224","0.5571970939636235"
"group_538",,"","hypothetical protein","63","121","66","446","48.837209302325576","78.65961199294532","3.5184072126220887","1.0728481665700406e-09","8.419712411241678e-06","1.1078568962160102e-07","27","11","18","0.12207812070846553","0.44206833839416504"
"group_1514",,"","hypothetical protein","47","70","82","497","36.434108527131784","87.65432098765432","4.069512195121951","1.043046798637595e-09","8.185831275707846e-06","1.1061934156361953e-07","13","8","8","0.5810546875","0.5810546875"
"group_616",,"","hypothetical protein","74","169","55","398","57.36434108527132","70.19400352733686","3.1685852608929532","1.0412752744270257e-08","8.171928353703299e-05","7.566600327503054e-07","32","12","23","0.020061607006937265","0.2153271497227251"
"group_2659",,"","hypothetical protein","63","113","66","454","48.837209302325576","80.0705467372134","3.835076427996782","1.0405769477960524e-10","8.166447886303419e-07","2.5520149644698184e-08","13","9","4","0.26684570312499983","0.26684570312499983"
"group_1831",,"","hypothetical protein","83","206","46","361","64.34108527131784","63.66843033509701","3.161988180666948","1.0262171880505133e-08","8.053752491820429e-05","7.526871487682644e-07","37","23","20","0.18774155899882303","0.7428293587290689"
"rhlB~~~srmB",,";rhlB;srmB","hypothetical protein;ATP-dependent RNA helicase RhlB;ATP-dependent RNA helicase SrmB","71","126","58","441","55.03875968992248","77.77777777777779","4.2844827586206895","9.670135502940217e-13","7.589122342707483e-09","1.5178244685414964e-09","20","11","13","0.2631759643554687","0.8238029479980463"
"group_1741",,"","hypothetical protein","61","106","68","461","47.286821705426355","81.30511463844798","3.9013596004439512","9.51051206989245e-11","7.463849872451594e-07","2.4076935072424497e-08","8","5","6","0.2890624999999999","0.7265625000000002"
"group_1273",,"","hypothetical protein","63","120","66","447","48.837209302325576","78.83597883597884","3.555681818181818","8.897829324475739e-10","6.98301645384856e-06","9.56577596417611e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_421",,"","hypothetical protein","63","120","66","447","48.837209302325576","78.83597883597884","3.555681818181818","8.897829324475739e-10","6.98301645384856e-06","9.56577596417611e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1459",,"comGA","ComG operon protein 1","59","106","70","461","45.73643410852713","81.30511463844798","3.665633423180593","8.491624495144679e-10","6.664226903789544e-06","9.386235075759922e-08","20","6","15","0.04138946533203125","0.11531829833984371"
"group_720",,"","hypothetical protein","57","93","72","474","44.18604651162791","83.5978835978836","4.03494623655914","8.351103057623787e-11","6.553945679623148e-07","2.1846485598743825e-08","20","14","10","0.11531829833984371","1.0"
"group_2305",,"","hypothetical protein","64","131","65","436","49.6124031007752","76.89594356261023","3.2770405167351733","8.107741914280834e-09","6.362955854327599e-05","6.002788541818489e-07","33","14","22","0.08014331245794892","0.4868502416647969"
"group_1258",,"","hypothetical protein","66","139","63","428","51.162790697674424","75.48500881834215","3.225762247344981","8.100744229096242e-09","6.357464070994731e-05","6.002788541818489e-07","33","14","22","0.08014331245794892","0.4868502416647969"
"group_2404",,"","hypothetical protein","61","105","68","462","47.286821705426355","81.48148148148148","3.947058823529412","7.91016855116765e-11","6.207900278956372e-07","2.1406552686056454e-08","23","10","15","0.21003961563110343","0.6776394844055175"
"group_707",,"","hypothetical protein","63","119","66","448","48.837209302325576","79.01234567901234","3.593582887700535","7.714521917686621e-10","6.05435680100046e-06","8.649081144286372e-08","28","10","20","0.035698138177394874","0.18493334203958517"
"group_17",,"","hypothetical protein","55","93","74","474","42.63565891472868","83.5978835978836","3.7881429816913688","7.687890401615189e-10","6.0334563871876e-06","8.649081144286372e-08","9","5","6","0.5078125","1.0"
"group_1410",,"","hypothetical protein","71","140","58","427","55.03875968992248","75.30864197530865","3.7336206896551722","7.450210586623361e-11","5.846925268382014e-07","2.0881875958507196e-08","38","15","25","0.07295138851623055","0.2558750795433297"
"group_2176",,"","hypothetical protein","78","142","51","425","60.46511627906976","74.95590828924162","4.577464788732394","7.153659327064984e-14","5.614191839880599e-10","2.8070959199402996e-10","28","16","16","0.571588188409805","0.571588188409805"
"group_1780",,"","hypothetical protein","63","118","66","449","48.837209302325576","79.18871252204586","3.6321263482280433","7.077013193280204e-10","5.554039954086305e-06","8.167705814832801e-08","27","12","17","0.24778856337070485","0.7011080384254457"
"sdrD~~~sdrD_2~~~sdrD_1",,";sdrD;sdrD_2;sdrD_1","hypothetical protein;Serine-aspartate repeat-containing protein D","59","112","70","455","45.73643410852713","80.24691358024691","3.424107142857143","6.419054308810234e-09","5.037673821554272e-05","4.843917136109877e-07","28","8","23","0.0009122341871261592","0.035698138177394874"
"ybdM",,"ybdM","putative protein YbdM","56","96","73","471","43.41085271317829","83.06878306878306","3.7636986301369864","6.298162955480082e-10","4.942798287460769e-06","7.377310876807118e-08","11","3","9","0.06542968749999997","0.22656250000000003"
"group_2200",,"","hypothetical protein","77","139","52","428","59.68992248062015","75.48500881834215","4.559490868843387","6.287801402548898e-14","4.934666540720375e-10","2.8070959199402996e-10","27","15","17","0.24778856337070485","0.7011080384254457"
"group_1301",,"","hypothetical protein","61","119","68","448","47.286821705426355","79.01234567901234","3.3771626297577853","6.056206641916836e-09","4.752910972576333e-05","4.614476672404207e-07","26","10","18","0.0755186975002289","0.32693958282470703"
