Genome1	Genome2	ANI
GCA_016482085.1.fasta	GCA_016092595.1.fasta	99.30851005244755
GCA_016482085.1.fasta	GCA_032601065.1.fasta	99.20732621440536
GCA_016482085.1.fasta	GCA_016482205.1.fasta	99.17513484536083
GCA_016482085.1.fasta	GCA_030971405.1.fasta	99.24153880597015
GCA_016482085.1.fasta	GCA_002766955.1.fasta	99.34419325938566
GCA_016482085.1.fasta	GCA_003627735.1.fasta	99.96509024856597
GCA_016482085.1.fasta	GCA_031853785.1.fasta	99.2747003352892
GCA_016482085.1.fasta	GCA_031853285.1.fasta	99.3140141025641
GCA_016482085.1.fasta	GCA_002627725.1.fasta	97.95174358974359
GCA_016482085.1.fasta	GCA_016805145.1.fasta	99.22551806204845
GCA_016482085.1.fasta	GCA_004166455.1.fasta	99.19498362720402
GCA_016482085.1.fasta	GCA_903992195.1.fasta	99.22203180286436
GCA_016482085.1.fasta	GCA_034016795.1.fasta	99.31563648068669
GCA_016482085.1.fasta	GCA_035287725.1.fasta	99.27963941076004
GCA_016482085.1.fasta	GCA_004790875.1.fasta	93.94689743589744
GCA_016482085.1.fasta	GCA_032603515.1.fasta	99.22960688482789
GCA_016482085.1.fasta	GCA_003185615.1.fasta	99.3677924773022
GCA_016482085.1.fasta	GCA_035287365.1.fasta	99.27450441361917
GCA_016482085.1.fasta	GCA_006382055.1.fasta	99.1952133838384
GCA_016482085.1.fasta	GCA_031853495.1.fasta	99.16261183932346
GCA_016482085.1.fasta	GCA_016481825.1.fasta	99.23797653583618
GCA_016482085.1.fasta	GCA_002767135.1.fasta	99.95575556835638
GCA_016482085.1.fasta	GCA_016455225.1.fasta	99.94574063079777
GCA_016482085.1.fasta	GCA_004794825.1.fasta	99.23585123276222
GCA_016482085.1.fasta	GCA_002627705.1.fasta	99.36964102564103
GCA_016482085.1.fasta	GCA_006383175.1.fasta	99.23369722455845
GCA_016482085.1.fasta	GCA_003383915.1.fasta	99.26411881188119
GCA_016482085.1.fasta	GCA_032602885.1.fasta	99.21359832985385
GCA_016482085.1.fasta	GCA_006382235.1.fasta	99.86368555133079
GCA_016482085.1.fasta	GCA_036977425.1.fasta	99.9404284641382
GCA_016482085.1.fasta	GCA_032603395.1.fasta	99.2700736322501
GCA_016482085.1.fasta	GCA_032464605.1.fasta	99.31559327217126
GCA_016482085.1.fasta	GCA_016481735.1.fasta	99.24103208104685
GCA_016482085.1.fasta	GCA_903992125.1.fasta	99.31032190029825
GCA_016482085.1.fasta	GCA_034016905.1.fasta	99.28756613976705
GCA_016482085.1.fasta	GCA_016804415.1.fasta	99.22799247355573
GCA_016482085.1.fasta	GCA_002767925.1.fasta	99.89995922664625
GCA_016482085.1.fasta	GCA_903992425.1.fasta	99.24004740454741
GCA_016482085.1.fasta	GCA_036977255.1.fasta	99.92683320493066
GCA_016482085.1.fasta	GCA_007833515.1.fasta	99.34174219409283
GCA_016482085.1.fasta	GCA_030264035.1.fasta	99.14609821057012
GCA_016482085.1.fasta	GCA_014490535.1.fasta	99.27771344784247
GCA_016482085.1.fasta	GCA_002767055.1.fasta	99.2608864853729
GCA_016482085.1.fasta	GCA_035287545.1.fasta	99.31736233108109
GCA_016482085.1.fasta	GCA_036409835.1.fasta	99.23164179104478
GCA_016482085.1.fasta	GCA_031853145.1.fasta	99.26040281224152
GCA_016482085.1.fasta	GCA_006382315.1.fasta	99.21963099707968
GCA_016482085.1.fasta	GCA_003185195.1.fasta	99.92797727272728
GCA_016482085.1.fasta	GCA_903992095.1.fasta	99.30015875754961
GCA_016482085.1.fasta	GCA_031853725.1.fasta	99.21912000840689
GCA_016482085.1.fasta	GCA_016481665.1.fasta	99.24905303351719
GCA_016482085.1.fasta	GCA_004322615.1.fasta	99.3167904115401
GCA_016482085.1.fasta	GCA_034042615.1.fasta	99.31555107296137
GCA_016482085.1.fasta	GCA_032464515.1.fasta	98.60330502717392
GCA_016482085.1.fasta	GCA_036409895.1.fasta	99.32712409071459
GCA_016482085.1.fasta	GCA_003185095.1.fasta	99.21221813092161
GCA_016482085.1.fasta	GCA_016482365.1.fasta	99.25578921161826
GCA_016482085.1.fasta	GCA_002976305.1.fasta	99.28457932794555
GCA_016482085.1.fasta	GCA_900183575.1.fasta	87.2588617332035
GCA_016482085.1.fasta	GCA_030238845.1.fasta	99.08427538018907
GCA_016482085.1.fasta	GCA_004790775.1.fasta	85.27361538461538
GCA_016482085.1.fasta	GCA_038422595.1.fasta	99.25996261682243
GCA_016482085.1.fasta	GCA_031478355.1.fasta	99.2642251363827
GCA_016482085.1.fasta	GCA_016455245.1.fasta	99.26915107296136
GCA_016482085.1.fasta	GCA_036977055.1.fasta	99.91051824116744
GCA_016482085.1.fasta	GCA_002768205.1.fasta	99.91108079625293
GCA_016482085.1.fasta	GCA_002922675.1.fasta	99.22273871100164
GCA_016482085.1.fasta	GCA_016804635.1.fasta	99.91629592233011
GCA_016482085.1.fasta	GCA_016804865.1.fasta	99.19877461248429
GCA_016482085.1.fasta	GCA_004790835.1.fasta	96.03456976744185
GCA_016482085.1.fasta	GCA_002847265.1.fasta	99.33235983510012
